Inference for Stan model: Matern32Poisson_SDE_reparametrized_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (64) seconds, 1.1 minutes total
Sampling took (56) seconds, 56 seconds total

                    Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s    R_hat
x_shock[84]     3.6e-001 3.0e-002 9.4e-001 -1.2e+000  3.5e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[85]     4.4e-001 3.0e-002 9.5e-001 -1.1e+000  4.2e-001  2.1e+000   1000 1.8e+001 1.0e+000
x_shock[86]     3.5e-001 3.0e-002 9.4e-001 -1.2e+000  3.5e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[87]     2.9e-001 3.0e-002 9.5e-001 -1.3e+000  3.1e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[88]     3.4e-001 2.9e-002 9.1e-001 -1.2e+000  3.2e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[89]     3.0e-001 3.1e-002 9.7e-001 -1.3e+000  3.1e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[90]     3.2e-001 2.8e-002 8.8e-001 -1.2e+000  3.1e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[91]     4.0e-001 2.8e-002 8.9e-001 -1.0e+000  3.7e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[92]     4.1e-001 2.8e-002 8.9e-001 -1.0e+000  3.9e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[93]     3.3e-001 2.9e-002 9.2e-001 -1.2e+000  3.4e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[94]     2.4e-001 2.7e-002 8.6e-001 -1.2e+000  2.3e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[95]     3.2e-002 2.9e-002 9.2e-001 -1.5e+000  3.0e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[96]    -1.0e-001 3.2e-002 1.0e+000 -1.9e+000 -8.9e-002  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[97]    -8.5e-002 2.9e-002 9.2e-001 -1.7e+000 -5.5e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[98]     2.5e-002 2.9e-002 9.2e-001 -1.5e+000  4.0e-002  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[99]     1.2e-001 3.3e-002 1.0e+000 -1.5e+000  1.2e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[100]    6.0e-002 3.2e-002 1.0e+000 -1.6e+000  8.0e-002  1.8e+000   1000 1.8e+001 1.0e+000
x[1]            2.9e+000 5.2e-003 1.6e-001  2.6e+000  2.9e+000  3.2e+000   1000 1.8e+001 1.0e+000
x[2]            2.9e+000 4.1e-003 1.3e-001  2.6e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[3]            2.8e+000 3.8e-003 1.2e-001  2.6e+000  2.8e+000  3.0e+000   1000 1.8e+001 1.0e+000
x[4]            2.7e+000 3.9e-003 1.2e-001  2.5e+000  2.7e+000  2.9e+000   1000 1.8e+001 1.0e+000
x[5]            2.7e+000 3.9e-003 1.2e-001  2.5e+000  2.7e+000  2.9e+000   1000 1.8e+001 1.0e+000
x[6]            2.8e+000 3.5e-003 1.1e-001  2.6e+000  2.8e+000  2.9e+000   1000 1.8e+001 1.0e+000
x[7]            2.8e+000 3.3e-003 1.0e-001  2.6e+000  2.8e+000  3.0e+000   1000 1.8e+001 1.0e+000
x[8]            2.9e+000 3.3e-003 1.1e-001  2.7e+000  2.9e+000  3.0e+000   1000 1.8e+001 1.0e+000
x[9]            2.9e+000 3.3e-003 1.0e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[10]           2.9e+000 3.3e-003 1.0e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[11]           2.9e+000 3.2e-003 1.0e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[12]           2.9e+000 3.4e-003 1.1e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[13]           2.9e+000 3.4e-003 1.1e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[14]           3.0e+000 3.3e-003 1.0e-001  2.8e+000  3.0e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[15]           3.0e+000 3.1e-003 9.9e-002  2.8e+000  3.0e+000  3.2e+000   1000 1.8e+001 1.0e+000
x[16]           3.1e+000 3.2e-003 1.0e-001  2.9e+000  3.1e+000  3.2e+000   1000 1.8e+001 1.0e+000
x[17]           3.1e+000 3.2e-003 1.0e-001  2.9e+000  3.1e+000  3.3e+000   1000 1.8e+001 1.0e+000
x[18]           3.1e+000 3.2e-003 1.0e-001  2.9e+000  3.1e+000  3.3e+000   1000 1.8e+001 1.0e+000
x[19]           3.1e+000 3.1e-003 9.9e-002  2.9e+000  3.1e+000  3.3e+000   1000 1.8e+001 1.0e+000
x[20]           3.1e+000 3.1e-003 9.7e-002  2.9e+000  3.1e+000  3.2e+000   1000 1.8e+001 1.0e+000
x[21]           3.0e+000 3.1e-003 9.8e-002  2.8e+000  3.0e+000  3.2e+000   1000 1.8e+001 1.0e+000
x[22]           2.9e+000 3.2e-003 1.0e-001  2.7e+000  2.9e+000  3.1e+000   1000 1.8e+001 1.0e+000
x[23]           2.8e+000 3.5e-003 1.1e-001  2.7e+000  2.8e+000  3.0e+000   1000 1.8e+001 1.0e+000
x[24]           2.8e+000 3.6e-003 1.1e-001  2.6e+000  2.8e+000  3.0e+000   1000 1.8e+001 1.0e+000
x[25]           2.7e+000 3.6e-003 1.1e-001  2.5e+000  2.7e+000  2.9e+000   1000 1.8e+001 1.0e+000
x[26]           2.7e+000 3.6e-003 1.1e-001  2.5e+000  2.7e+000  2.9e+000   1000 1.8e+001 1.0e+000
x[27]           2.6e+000 3.7e-003 1.2e-001  2.4e+000  2.6e+000  2.8e+000   1000 1.8e+001 1.0e+000
x[28]           2.5e+000 3.8e-003 1.2e-001  2.3e+000  2.5e+000  2.7e+000   1000 1.8e+001 1.0e+000
x[29]           2.4e+000 4.0e-003 1.3e-001  2.2e+000  2.4e+000  2.6e+000   1000 1.8e+001 1.0e+000
x[30]           2.3e+000 4.2e-003 1.3e-001  2.1e+000  2.3e+000  2.5e+000   1000 1.8e+001 1.0e+000
x[31]           2.2e+000 4.2e-003 1.3e-001  2.0e+000  2.2e+000  2.5e+000   1000 1.8e+001 1.0e+000
x[32]           2.2e+000 4.3e-003 1.3e-001  2.0e+000  2.2e+000  2.4e+000   1000 1.8e+001 1.0e+000
x[33]           2.1e+000 4.3e-003 1.4e-001  1.9e+000  2.1e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[34]           2.0e+000 4.5e-003 1.4e-001  1.8e+000  2.0e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[35]           2.0e+000 4.9e-003 1.5e-001  1.7e+000  2.0e+000  2.2e+000   1000 1.8e+001 1.0e+000
x[36]           1.9e+000 5.2e-003 1.6e-001  1.6e+000  1.9e+000  2.1e+000   1000 1.8e+001 1.0e+000
x[37]           1.7e+000 5.4e-003 1.7e-001  1.4e+000  1.7e+000  2.0e+000   1000 1.8e+001 1.0e+000
x[38]           1.6e+000 5.8e-003 1.8e-001  1.3e+000  1.6e+000  1.9e+000   1000 1.8e+001 1.0e+000
x[39]           1.4e+000 6.0e-003 1.9e-001  1.1e+000  1.4e+000  1.7e+000   1000 1.8e+001 1.0e+000
x[40]           1.2e+000 6.2e-003 2.0e-001  8.9e-001  1.2e+000  1.5e+000   1000 1.8e+001 1.0e+000
x[41]           1.1e+000 6.6e-003 2.1e-001  6.9e-001  1.1e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[42]           9.1e-001 7.1e-003 2.2e-001  5.1e-001  9.3e-001  1.2e+000   1000 1.8e+001 1.0e+000
x[43]           7.9e-001 7.4e-003 2.3e-001  3.7e-001  8.1e-001  1.1e+000   1000 1.8e+001 1.0e+000
x[44]           7.1e-001 7.5e-003 2.4e-001  3.0e-001  7.3e-001  1.1e+000   1000 1.8e+001 1.0e+000
x[45]           6.7e-001 7.7e-003 2.4e-001  2.4e-001  6.9e-001  1.1e+000   1000 1.8e+001 1.0e+000
x[46]           6.6e-001 7.7e-003 2.4e-001  2.5e-001  6.8e-001  1.0e+000   1000 1.8e+001 1.0e+000
x[47]           6.9e-001 7.5e-003 2.4e-001  2.7e-001  7.1e-001  1.1e+000   1000 1.8e+001 1.0e+000
x[48]           7.6e-001 7.2e-003 2.3e-001  3.5e-001  7.7e-001  1.1e+000   1000 1.8e+001 1.0e+000
x[49]           8.6e-001 6.8e-003 2.2e-001  4.8e-001  8.7e-001  1.2e+000   1000 1.8e+001 1.0e+000
x[50]           9.8e-001 6.4e-003 2.0e-001  6.5e-001  9.8e-001  1.3e+000   1000 1.8e+001 1.0e+000
x[51]           1.1e+000 6.0e-003 1.9e-001  8.0e-001  1.1e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[52]           1.2e+000 5.8e-003 1.8e-001  9.3e-001  1.2e+000  1.5e+000   1000 1.8e+001 1.0e+000
x[53]           1.4e+000 5.5e-003 1.7e-001  1.1e+000  1.4e+000  1.7e+000   1000 1.8e+001 1.0e+000
x[54]           1.5e+000 5.2e-003 1.6e-001  1.2e+000  1.5e+000  1.8e+000   1000 1.8e+001 1.0e+000
x[55]           1.6e+000 5.0e-003 1.6e-001  1.3e+000  1.6e+000  1.9e+000   1000 1.8e+001 1.0e+000
x[56]           1.7e+000 5.0e-003 1.6e-001  1.4e+000  1.7e+000  1.9e+000   1000 1.8e+001 1.0e+000
x[57]           1.8e+000 4.9e-003 1.5e-001  1.5e+000  1.8e+000  2.0e+000   1000 1.8e+001 1.0e+000
x[58]           1.8e+000 4.8e-003 1.5e-001  1.6e+000  1.8e+000  2.1e+000   1000 1.8e+001 1.0e+000
x[59]           1.9e+000 4.8e-003 1.5e-001  1.6e+000  1.9e+000  2.1e+000   1000 1.8e+001 1.0e+000
x[60]           1.9e+000 4.9e-003 1.5e-001  1.7e+000  1.9e+000  2.2e+000   1000 1.8e+001 1.0e+000
x[61]           2.0e+000 4.8e-003 1.5e-001  1.8e+000  2.0e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[62]           2.0e+000 4.6e-003 1.5e-001  1.8e+000  2.0e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[63]           2.1e+000 4.5e-003 1.4e-001  1.8e+000  2.1e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[64]           2.1e+000 4.4e-003 1.4e-001  1.9e+000  2.1e+000  2.3e+000   1000 1.8e+001 1.0e+000
x[65]           2.2e+000 4.4e-003 1.4e-001  1.9e+000  2.2e+000  2.4e+000   1000 1.8e+001 1.0e+000
x[66]           2.3e+000 4.3e-003 1.3e-001  2.0e+000  2.3e+000  2.5e+000   1000 1.8e+001 1.0e+000
x[67]           2.4e+000 4.1e-003 1.3e-001  2.1e+000  2.4e+000  2.6e+000   1000 1.8e+001 1.0e+000
x[68]           2.4e+000 4.1e-003 1.3e-001  2.2e+000  2.4e+000  2.6e+000   1000 1.8e+001 1.0e+000
x[69]           2.5e+000 4.0e-003 1.3e-001  2.3e+000  2.5e+000  2.7e+000   1000 1.8e+001 1.0e+000
x[70]           2.5e+000 4.0e-003 1.3e-001  2.3e+000  2.5e+000  2.7e+000   1000 1.8e+001 1.0e+000
x[71]           2.4e+000 3.9e-003 1.2e-001  2.2e+000  2.4e+000  2.6e+000   1000 1.8e+001 1.0e+000
x[72]           2.4e+000 3.8e-003 1.2e-001  2.2e+000  2.4e+000  2.6e+000   1000 1.8e+001 1.0e+000
x[73]           2.3e+000 4.0e-003 1.3e-001  2.1e+000  2.3e+000  2.5e+000   1000 1.8e+001 1.0e+000
x[74]           2.3e+000 4.3e-003 1.4e-001  2.0e+000  2.3e+000  2.5e+000   1000 1.8e+001 1.0e+000
x[75]           2.2e+000 4.4e-003 1.4e-001  1.9e+000  2.2e+000  2.4e+000   1000 1.8e+001 1.0e+000
x[76]           2.0e+000 4.5e-003 1.4e-001  1.8e+000  2.0e+000  2.2e+000   1000 1.8e+001 1.0e+000
